Attribute,Index,Clean Value,Dirty Value
article_title,65,Phase II study of epirubicin oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma.,nan
article_title,67,A guide to physiotherapy in cerebral palsy,nan
article_title,80,The first case of drug-induced immune hemolytic anemia due to hydrocortisone,nan
article_title,100,Dietary practices of ballet jazz and modern dancers,nan
article_title,108,Effect of antibiotic prescribing in primary care on meticillin-resistant Staphylococcus aureus carriage in community-resident adults: a controlled observational study,nan
article_title,113,Cardiac atrophy in women following bed rest,Cardiac# atrophy in women #following bed rest
article_title,116,Antiplatelet therapy in patients with ST-elevation myocardial infarction undergoing myocardial revascularisation: Beyond clopidogrel.,Antiplatelet therapy in patients with ST-elevation myocardial infa$rction undergoing myocardial revascularisation: Beyond clopidogrel.
article_title,120,The Hierarchical Organization of Intellectual Structures,The Hierarchical Organization of Intellectual $Structures??
article_title,130,Antivitamin K drugs in stroke prevention,Antivitamin K drugs in stroke$ preven#tion
article_title,146,Clinical comparison of the effects of nimesulide and ibuprofen on fever in children. [Chinese],Clinical compar%ison of the effects of nimesulide and ibuprofen on fever in children. [Chinese]
article_title,153,[Skeletal maturation in assessing underage asylum seekers].,nan
article_title,160,Assessing quality of life in patients after partial laryngectomy,Assessing quality of life in patients after partial% laryngectom@@y
article_title,163,Single bolus parecoxib attenuates sore throat after laryngeal microsurgery: A randomized double-blind control study,nan
article_title,170,The Role of Radiology in Preclinical Anatomy. A Critical Review of the Past Present and Future.,nan
article_title,171,Insulin detemir lowers the risk of hypoglycaemia and provides more consistent plasma glucose levels compared with NPH insulin in Type 1 diabetes.,nan
article_title,185,Supporting patient adherence to antiretrovirals using mobile phone reminders: patient responses from South India,Supporting patient adherence to antiretrovirals ??using mobile phone reminders: patient responses from S@@outh India
article_title,193,Mapping Curriculum to Ed Tech and Industry Standards,nan
article_title,195,The epidemiology of injury for an elite junior Australian Football cohort,nan
article_title,208,Stereotactic radiosurgery for spinal metastases: a literature review. [Review],Stereotactic radiosurgery for @@spinal metastases: a literature review. [Review]
article_title,210,Difference in fascicle behaviors between superficial and deep quadriceps muscles during isometric contractions.,nan
article_title,244,Systematic review exploring the effect of exercise in pulmonary rehabilitation on depression levels in patients with chronic obstructive pulmonary disease,Systematic review exploring the effect of exercise in pulmonary rehabilitation on depres@@sion levels in patients with chronic obstructive pulmona??ry disease
article_title,247,White matter diffusivity predicts memory in patients with subjective and mild cognitive impairment and normal CSF total tau levels.,nan
article_title,256,MicroRNAs: a new piece in the paediatric cardiovascular disease puzzle.,nan
article_title,258,Mortality at older ages and moves in residential and sheltered housing: evidence from the UK,nan
article_title,289,Streptococcus pneumoniae carriage in the Gaza strip,nan
article_title,300,Cultural humility: essential foundation for clinical researchers.,nan
article_title,314,Chapter 25 - Skin Manifestations of HIV Infection,Chap@@ter 25 - Skin Manifestation@@s of HIV Infection
article_title,330,Descemet's stripping endothelial keratoplasty: safety and outcomes: a report by the American Academy of Ophthalmology,Descemet's stripping endothelial keratoplasty: safety an#d outcomes: a report by the American Academy of Ophthalmology
article_title,350,L2 spinal nerve-block effects on acute low back pain from osteoporotic vertebral fracture,nan
article_title,362,[Perineal regional anaesthesia: indications in gynaecologic and proctologic surgery and in obstetric],[Perineal regional anaesthesia: indications in gynaecologic and proctologic surgery and in obs#tetric]
article_title,374,Measuring the value of research data: a citation analysis of oceanographic data sets,Measuring the value of research data: a cita$tion analysis$ of oceanographic data sets
article_title,394,[The effect of shift work on the health of workers: a systematic review].,[The effect of shift work on the health of% workers: a syste#matic review].
article_title,396,Early and late mortality in hospitalised patients with raised cardiac troponin T.,Early and late mortality in hospitalised pat@@ients with raised cardiac troponin T.
article_title,400,Identification of a novel missense (C7W) mutation of SOD1 in a large familial amyotrophic lateral sclerosis pedigree.,nan
article_title,427,Dose optimization of infliximab in patients with rheumatoid arthritis.,nan
article_title,436,Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome,Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate m$onohydrate (robalzotan tartrate monohydr$ate) in patients with irritable bowel syndrome
article_title,437,The impact of orthodontic treatment on the quality of life a systematic review.,nan
article_title,449,Barriers and facilitators to implementing electronic prescription: a systematic review of user groups' perceptions.,Barriers and facilitators to implem$enting electronic prescription: a systematic review of user groups' perceptions.
article_title,455,Heart rate and blood pressure responses of left-handers and right-handers to autonomic stressors,Heart rate and% blood pressure responses of left-hande$rs and right-handers to autonomic stressors
article_title,459,Acute and Persistent Postoperative Pain after Breast Surgery,Acute and Persistent @@Post$operative Pain after Breast Surgery
article_title,464,Follow-up care of patients treated for breast cancer: a structured review,Follow-up care of patients tre$ated for breast cancer: a st#ructured review
article_title,466,Bullous impetigo in children infected with methicillin-resistant Staphylococcus aureus alone or in combination with methicillin-susceptible S. aureus: analysis of genetic characteristics including assessment of exfoliative toxin gene carriage,Bullous impetigo in children infected #with methicillin-resistant Staphylococcus aureus alone or in combination with methicillin-susceptible S. aureus: analysis of genetic characteristics including assessment o@@f exfoliative toxin gene carriage
article_title,468,The Social Workers Guide to Child and Adolescent Mental Health.,The Social Workers Gu??ide to Child and Adolescent Mental Health.
article_title,476,The impact of 3D volume of interest definition on accuracy and precision of activity estimation in quantitative SPECT and planar processing methods.,nan
article_title,478,Comparison of 3D OS-EM and 4D MAP-RBI-EM reconstruction algorithms for cardiac motion abnormality classification using a motion observer.,Comparison of 3D OS-EM and 4D MAP-RB%I-EM reconstruction algorithms for cardiac motion abnormality classification u@@sing a motion observer.
article_title,482,Chronic pain-associated behaviors in the nursing home: resident versus caregiver perceptions,nan
article_title,492,Cognitive impairment and risk of cardiovascular events and mortality.,Cognitive impairment and ris$k of cardiovascular events and mortality.
article_title,493,Comparison of tunnel positions in single-bundle anterior cruciate ligament reconstructions using computer navigation.,nan
article_title,494,Fludarabine vs cladribine plus busulfan and low-dose TBI as reduced intensity conditioning for allogeneic hematopoietic stem cell transplantation: a prospective randomized trial,Fludarabine vs cladribine p#lus busulfan and low-dose TBI as reduced intensity conditioning for allogeneic hematopoietic stem cell transplantat@@ion: a prospective randomized trial
article_title,509,Application of a model based on fuzzy logic for evaluating nursing diagnostic accuracy of students,Application of a model$ based on fuzzy logic for evaluating nursing diagnostic accuracy of students
article_title,533,The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits 1 _2 and  along their extrasynaptic cell membrane.,The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits 1 _2 and  along their extrasynaptic cel$l mem#brane.
article_title,548,A screening methodology for crowdsourcing video QoE evaluation,A screening me@@thodology for crowdsourcing video QoE evaluation
article_title,553,The fundamental role of bone morphogenetic protein 15 in ovarian function and its      involvement in female fertility disorders.,The fundamental role of bone morphogenetic protein 15 in ovarian fun@@ction and its      involvement in female fertility disorders.
article_title,563,Neighbourhood characteristics and mortality in the Atherosclerosis Risk in Communities Study,nan
article_title,566,A systematic review of the surgical treatment of large incisional hernia.,A systematic review of the surgical treatment of large #incisional hernia.
article_title,577,Intravenous insulin treatment in acute stroke: a systematic review and meta-analysis of randomized controlled trials.,Intravenous insulin treatment in acute stroke: a systematic review# and meta-analysis of ran%domized controlled trials.
article_title,578,Hospitalized heart failure patients with preserved vs. reduced     ejection fraction in Dubai United Arab Emirates: a prospective     study,Hospitalized heart failure patients with preserved vs. reduced     ejection fraction in Dubai United Arab Emirates: a prospective     stu@@dy
article_title,584,Puberty suppression in adolescents with gender identity disorder: a prospective follow-up study,Puberty suppression in adolescents with gender id??entity disorder: a prospective follow-up@@ study
article_title,590,[Methicillin-resistant Staphylococcus aureus forming the fried egg appearance colonies isolated from a patient with septicemia],nan
article_title,591,Support for nutrition from the older Americans act programs: a clarification on its 40th anniversary,Support for nutrition from the older Americ%ans ??act programs: a clarification on its 40th anniversary
article_title,593,The Effects of Cognitive Coaching and Nonverbal Classroom Management on Teacher Efficacy and Perceptions of School Culture.,The Effects of Cognitive Coaching an%d Nonverbal Classr@@oom Management on Teacher Efficacy and Perceptions of School Culture.
article_title,598,[Effect of a dialysis solution with icodextrin on ultrafiltration and selected metabolic parameters in patients treated with peritoneal dialysis],[Effect of a dialysis solution with icodextrin on ultrafiltration and selected ??metabolic parameters in patients treated with peritone$al dialysis]
article_title,607,Bound for success: a systematic review of constraint-induced movement therapy in children with cerebral palsy supports improved arm and hand use (Structured abstract),nan
article_title,626,Prefrontal hypoactivation and recovery in insomnia.,Prefronta@@l hypoactivation and recovery in insomnia.
article_title,630,Diabetes and other comorbidities in breast cancer survival by race/ethnicity: The California breast cancer survivorship consortium (CBCSC),nan
article_title,633,Phase III randomized sequential open-label study to evaluate the efficacy and safety of sorafenib followed by pazopanib vs pazopanib followed by sorafenib in the treatment of advanced / metastatic renal cell carcinoma-design of the SWITCH-2 Study (NCT01613846),nan
article_title,651,Impact of diet restriction and/or resistance training on physical capacity in obese older women...7th World Congress on Aging and Physical Activity,Impact of diet restriction and/or resistance training on physical capacity in obese older women#...7th World Congress@@ on Aging and Physical Activity
article_title,676,Obesity and obstructive sleep apnea: Carry the torch of awareness,nan
article_title,680,The special status of actions in causal reasoning in rats.,nan
article_title,694,The exercise prescription: focus on vascular mechanisms.,nan
article_title,696,Soda and cell aging: associations between sugar-sweetened beverage consumption and leukocyte telomere length in healthy adults from the National Health and Nutrition Examination Surveys,Soda and cell agi#ng: associations between sugar-sweetened beverage consumption and leukocyte telomere length in healthy adults from the National ??Health and Nutrition Examination Surveys
article_title,748,Structural brain changes associated with antipsychotic treatment in schizophrenia      as revealed by voxel-based morphometric MRI: an activation likelihood estimation       meta-analysis.,nan
article_title,764,Intra-operative change of gastric ph during laparotomic cholecystectomy under general anaesthesia: A prospective case-control study,nan
article_title,781,Improvement of action tremor by chronic cortical stimulation,nan
article_title,789,Reporting methods in studies developing prognostic models in cancer: a review.,nan
article_title,793,[Severe exposure to environmental lead in a child population in Antofagasta Chile],[Severe exposure to environmental lead in a child @@population in Antofagasta Chile]
article_title,794,Tracheostomy Care and Complications in the Intensive Care Unit,nan
article_title,806,Tiao-She nursing of traditional Chinese medicine for mild cognitive disorder: An assessment of clinical evidence,Tiao-She nursing of traditional Chinese medicine for mild c#ognitive disorder: An assessment of clinical evidence
article_title,813,Preliminary validity and reliability of a Thai Berlin questionnaire in stroke patients,Preliminar#y validity and reliability of a Thai Berlin qu@@estionnaire in stroke patients
article_title,843,Difference in postural control between patients with functional and mechanical ankle instability,Differe@@nce in postural control between patients with functi??onal and mechanical ankle instability
article_title,874,Preoperative radiotherapy for esophageal carcinoma,Preoperative radi??otherapy for esophage@@al carcinoma
article_title,883,Cost-effectiveness of pharmacological and psychosocial interventions for schizophrenia (Structured abstract),nan
article_title,895,Shedding health risks with bariatric weight loss surgery,nan
article_title,908,Efficacy of continuation/maintenance electroconvulsive therapy for the prevention of recurrence of a major depressive episode in adults with unipolar depression: a systematic review.,nan
article_title,913,Disordered eating acculturation and treatment-seeking in a community sample of Hispanic Asian Black and White women,nan
article_title,926,SUNCT syndrome: VIII. Pupillary reaction and corneal sensitivity,SUNCT syndrome: VIII. Pupilla$ry reaction and corneal sensitivity
article_title,928,Efficacy immunogenicity and safety of a pentavalent human-bovine (WC3) reassortant rotavirus vaccine at the end of shelf life,nan
article_title,935,Role of non-opioid analgesic techniques in the management of pain after ambulatory surgery,Role of non-opioid analgesic techniques in the management of pain after ambulatory sur??gery
article_title,945,Evaluation of a hybrid constructed wetland for treating domestic sewage from individual housing units surrounding agricultural villages in South Korea,nan
article_title,969,Growth hormone treatment and diabetes: survey of the kabi pharmacia international growth study.,Growth hormo??ne treatment and diabetes: survey of the kabi ??pharmacia international growth study.
article_title,975,Validity of International Classification of Diseases Ninth Revision Clinical Modification (ICD-9-CM) screening for sepsis in surgical mortalities.,nan
article_title,979,Nonsyndromic 46XX Testicular Disorders of Sex Development,nan
article_title,992,An official American Thoracic Society systematic review: Influence of psychosocial characteristics on workplace disability among workers with respiratory impairment.,nan
article_language,16,eng,eng@%@
article_language,18,eng,$e$ng
article_language,42,eng,nan
article_language,63,English,nan
article_language,75,eng,eng#
article_language,82,eng,en%g
article_language,85,eng     por,nan
article_language,91,eng,nan
article_language,126,spa,nan
article_language,153,dut,nan
article_language,206,English,nan
article_language,238,ger,??g$er
article_language,290,English,En@@glish
article_language,315,eng,en$g
article_language,316,eng,nan
article_language,337,eng,nan
article_language,359,eng,eng??#
article_language,443,eng,nan
article_language,448,English,nan
article_language,458,eng,eng#
article_language,513,eng,nan
article_language,526,eng,e#ng%
article_language,539,English,English??
article_language,541,eng,en??g
article_language,547,English,nan
article_language,549,eng,nan
article_language,550,ENG,nan
article_language,578,English,Engli#sh
article_language,580,ita,nan
article_language,590,jpn,@@%jpn
article_language,612,eng,nan
article_language,652,eng,eng?%?
article_language,655,eng,eng$??
article_language,661,eng,en$#g
article_language,713,eng,nan
article_language,718,eng,e??ng%
article_language,740,eng,nan
article_language,752,eng,%en#g
article_language,766,eng,nan
article_language,775,eng,nan
article_language,787,English,Engli@@#sh
article_language,788,rus,@@r$us
article_language,822,eng,e#n@@g
article_language,832,eng,nan
article_language,870,eng,e$ng
article_language,896,eng,e$@@ng
article_language,913,English,nan
article_language,918,eng,#e#ng
article_language,930,English,Eng%lish
article_language,931,eng,nan
article_language,941,English,nan
journal_title,2,The Journal of infectious diseases,The Jour$nal of $infectious diseases
journal_title,14,Heart Rhythm,Heart Rh#y%thm
journal_title,19,Acta Neurochirurgica,#Acta Ne%urochirurgica
journal_title,25,Scandinavian Journal of Gastroenterology,Scandinavian Journal# of Gastroent??erology
journal_title,48,Cochrane Database Syst. Rev.,Cochrane ??Databa%se Syst. Rev.
journal_title,105,Cancer chemotherapy and pharmacology,nan
journal_title,111,Cancer immunology immunotherapy : CII,nan
journal_title,146,Chinese Journal of New Drugs,nan
journal_title,162,Journal of Clinical and Diagnostic Research,Journa$l of Clini#cal and Diagnostic Research
journal_title,179,Water science and technology : a journal of the International Association on Water Pollution Research,nan
journal_title,199,Annals Of Surgery,Annals Of Surg??ery@@
journal_title,201,The journal of headache and pain,nan
journal_title,203,Journal of sports sciences,nan
journal_title,209,Arch Surg,nan
journal_title,218,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colo$rectal disease : the official journal of the Association of Coloproctology of Great Bri@@tain and Ireland
journal_title,257,Journal of Huazhong University of Science and Technology. Medical Sciences,nan
journal_title,279,Journal of psychiatric research,Journ??al of psychiatric research
journal_title,290,Kardiologia Polska,Kardi$ologia Pols@@ka
journal_title,291,European journal of applied physiology and occupational physiology,nan
journal_title,293,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,nan
journal_title,297,CNS Drugs,nan
journal_title,348,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,$Colorec??tal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland
journal_title,351,International Journal of Social Psychiatry,nan
journal_title,358,Turk. J. Pediatr.,Turk@@. J. Pediatr.
journal_title,399,Int. J.  Pharmcy Pharm. Sci.,I@@nt. J.  Pharm$cy Pharm. Sci.
journal_title,412,PRIMUS,nan
journal_title,424,Am J Perinatol,nan
journal_title,441,J. Am. Geriatr. Soc.,nan
journal_title,447,Frontiers in human neuroscience,nan
journal_title,448,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,nan
journal_title,462,Thrombosis And Haemostasis,Thrombosis And Haemo$stasis
journal_title,487,Physiotherapy,P??hysiotherapy
journal_title,497,Proceedings of the Asme Pressure Vessels and Piping Conference 2010 Vol 7,nan
journal_title,513,Bmj-British Medical Journal,nan
journal_title,515,J. Pediatric Infect. Dis. Soc.,J. Pediatric Infect. Dis. So??c.
journal_title,524,Journal Of Oral And Maxillofacial Surgery: Official Journal Of The American Association Of Oral And Maxillofacial Surgeons,nan
journal_title,529,Environmental toxicology and pharmacology,nan
journal_title,564,The British journal of psychiatry : the journal of mental science,The British journal of ps@@y??chiatry : the journal of mental science
journal_title,587,European Journal Of Anaesthesiology,European Journal Of Anaes$thes??iology
journal_title,595,Online Submission,Onlin@@e Sub%mission
journal_title,610,Int. Angiol.,nan
journal_title,616,Nature,nan
journal_title,622,Impfstoffe: Akzeptanz und Sicherheit.,Impfstoffe: Akzeptanz un$d Sicherheit.
journal_title,644,Circulation,Circulati$on
journal_title,657,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association,Nep%hrology dialysis transplantation : official publication of the European Dialysis and Transplant Associati??on - European Renal Association
journal_title,659,Stroke; a journal of cerebral circulation,nan
journal_title,680,Journal of Experimental Psychology: General,Journal of Experi#mental Psychology: General
journal_title,691,Clinical radiology,nan
journal_title,745,DEV. BIOL. STAND.,nan
journal_title,774,AIDS (London England),AIDS (??London England)
journal_title,787,Indian Journal of Psychiatry,nan
journal_title,805,Brain and Language,nan
journal_title,817,Journal of Oral & Maxillofacial Surgery,Journal o$f Oral & Maxillofacial #Surgery
journal_title,862,Oral diseases,nan
journal_title,882,Journal of Psychopharmacology,nan
journal_title,905,Chest,nan
journal_title,945,Journal of environmental monitoring : JEM,nan
journal_title,947,Journal of Consulting and Clinical Psychology,nan
journal_title,967,Laryngo- rhino- otologie,Lary@@ngo- rhino- otologie
journal_title,980,Endocrinology,End%ocri$nology
journal_title,991,Am J Clin Nutr,Am J Clin$ Nutr
journal_title,999,International Journal of Colorectal Disease,nan
jounral_abbreviation,2,J. Infect. Dis.,J. ??In%fect. Dis.
jounral_abbreviation,21,Cancer Prev Res (Phila),nan
jounral_abbreviation,24,J. Clin. Oncol.,J. Clin#. Oncol.
jounral_abbreviation,38,Neurosurgery,nan
jounral_abbreviation,69,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,nan
jounral_abbreviation,99,American journal of physiology. Endocrinology and metabolism,American journal of physiology. ??Endocrinology and metabolism
jounral_abbreviation,177,Annals of the New York Academy of Sciences,Annals of th??e New York Academy of Sciences
jounral_abbreviation,210,Muscle Nerve,M#uscle Nerve
jounral_abbreviation,224,International journal of obesity (2005),nan
jounral_abbreviation,249,Gene,G@@ene
jounral_abbreviation,253,Biomed Eng Online,nan
jounral_abbreviation,279,J Psychiatr Res,nan
jounral_abbreviation,320,Cardiol Young,??C$ardiol Young
jounral_abbreviation,341,Int J Geriatr Psychiatry,Int J Geriatr Ps$ychiatry
jounral_abbreviation,372,Ann. Intern. Med.,nan
jounral_abbreviation,402,Am. J. Vet. Res.,A$m. J. %Vet. Res.
jounral_abbreviation,419,Clin Cardiol,Clin Card%iol
jounral_abbreviation,462,Thromb Haemost,Thromb% Haemost
jounral_abbreviation,476,Phys Med Biol,Phys $Med Biol
jounral_abbreviation,492,Eur. Heart J.,E??ur. Hea%rt J.
jounral_abbreviation,512,J Korean Neurosurg Soc,nan
jounral_abbreviation,612,Journal of alternative and complementary medicine (New York N.Y.),Journal of alternative and complementary medicine (Ne%w York N.Y.)
jounral_abbreviation,613,Jama,Jam@@a
jounral_abbreviation,720,BJOG : an international journal of obstetrics and gynaecology,BJOG : an# international journal of obstetrics and gynaecology
jounral_abbreviation,722,Jornal de pediatria,Jornal de pediat#ria
jounral_abbreviation,774,AIDS,??AID$S
jounral_abbreviation,795,Appl Radiat Isot,A@@ppl Radiat Isot
jounral_abbreviation,830,World J Pediatr Congenit Heart Surg,nan
jounral_abbreviation,837,J. Bone Miner. Res.,nan
jounral_abbreviation,849,Annals of the rheumatic diseases,nan
jounral_abbreviation,853,Circulation,Ci#r#culation
jounral_abbreviation,866,Pediatrics,Pediatrics#
jounral_abbreviation,892,The Journal of hand surgery,The Journal of ha@@nd surgery
jounral_abbreviation,911,Proc.Natl.Acad.Sci.U.S.A.,Proc.@@Natl.Ac$ad.Sci.U.S.A.
jounral_abbreviation,930,Neurosurg,Neuro%surg
jounral_abbreviation,938,The Journal of surgical research,nan
jounral_abbreviation,939,Clinical nutrition (Edinburgh Scotland),Clinical nutr#ition (Edin??burgh Scotland)
journal_issn,13,0001-6349 (Print) 0001-6349,0001-6349 %(Print) 0001-6$349
journal_issn,14,1547-5271,1547$-5271
journal_issn,19,Jan-68,Jan$@@-68
journal_issn,31,1598-9992,159??%8-9992
journal_issn,53,1537-7385,nan
journal_issn,60,1433-7347,nan
journal_issn,61,1879-4076,nan
journal_issn,64,0091-6749 (Print),0091-6??749 (??Print)
journal_issn,65,1756-9966,nan
journal_issn,104,1556-5653,1556-5@@653
journal_issn,114,0143-991X,01??43-991X
journal_issn,117,0021-8987,nan
journal_issn,130,-7518,nan
journal_issn,136,1079-5006,nan
journal_issn,137,1432-2161,nan
journal_issn,149,0017-5749,nan
journal_issn,162,2249-782X,2%249-782X
journal_issn,175,0362-2436,036@@2-2436
journal_issn,176,0077-8923,0077-89@@2%3
journal_issn,194,1460-2105,nan
journal_issn,199,1528-1140,nan
journal_issn,203,0264-0414,02%64-0414
journal_issn,205,1460-2385,nan
journal_issn,232,1532-2939,nan
journal_issn,240,0933-7407,093%3-7407%
journal_issn,280,978-1-4503-3459-4,nan
journal_issn,303,0949-2658 (Print) 0949-2658,0@@949-2658 (Print) 0949%-2658
journal_issn,331,1533-7731,153%3-7@@731
journal_issn,335,0109-2502,0109-250#2
journal_issn,342,0065-1419 (Print)     0065-1419,nan
journal_issn,360,-4928,nan
journal_issn,361,1442-2050,1442-2#050
journal_issn,371,0007-0912,@@0007-0??912
journal_issn,379,0098-4108 (Print)     0098-4108 (Linking),0098-4108 (Print)     009@@8-4108 (Linking)
journal_issn,381,1526-7598,1526-$7598
journal_issn,397,1827-1618,1$827-161%8
journal_issn,398,1526-7598,15#26-7598
journal_issn,443,1558-2035,nan
journal_issn,445,1058-0832,nan
journal_issn,461,0104-1169,0104-1@@1??69
journal_issn,475,2005-7563,nan
journal_issn,506,0300-9742,nan
journal_issn,515,-14400,nan
journal_issn,518,1941-2703,nan
journal_issn,526,0366-6999,036%6-6999
journal_issn,538,0160-6379,0160??-6379
journal_issn,543,1062-8401,nan
journal_issn,551,1532-8511,1532-8%511
journal_issn,576,0353-9504,nan
journal_issn,578,1879-0844,nan
journal_issn,622,1439-4413,1439#-4413
journal_issn,626,0161-8105,0161%-8$105
journal_issn,649,1547-1896,nan
journal_issn,650,0196-6553,nan
journal_issn,651,1063-8652,1063-865@@2
journal_issn,688,0021-9355 (Print),0021-#9355 (Print$)
journal_issn,732,1470-7926,147%0??-7926
journal_issn,747,Mar-67,nan
journal_issn,750,1437-1588,nan
journal_issn,756,1079-2082 (Print) 1079-2082,1079-2082 (Print) 1079-2#082
journal_issn,757,0190-535X,01#90-535X
journal_issn,770,1932-6203,nan
journal_issn,781,0885-3185,nan
journal_issn,798,0363-5023,nan
journal_issn,809,1096-4673,nan
journal_issn,814,1784-3286,nan
journal_issn,822,1930-739X,nan
journal_issn,834,1555-7162,nan
journal_issn,835,0342-4642,nan
journal_issn,837,0884-0431,0884%-#0431
journal_issn,855,1423-0356,nan
journal_issn,889,1932-6203,1932-??#6203
journal_issn,911,0027-8424,nan
journal_issn,918,1558-3597,nan
journal_issn,919,9-Mar,nan
journal_issn,926,0393-5264,nan
journal_issn,927,1466-187X Electronic 0142-159X Print,nan
journal_issn,931,1872-8243,1872-82??43@@
journal_issn,955,0893-133X,0893$@@-133X
journal_issn,978,1460-2091,14@@#60-2091
journal_issn,991,Feb-65,Feb-65$
article_jvolumn,4,84,nan
article_jvolumn,7,29,nan
article_jvolumn,12,8,nan
article_jvolumn,14,8,nan
article_jvolumn,21,6,28.923198580358516
article_jvolumn,36,3,nan
article_jvolumn,45,42,187.64068882783755
article_jvolumn,46,71,290.0786051233375
article_jvolumn,50,21,102.3763989870694
article_jvolumn,67,18,81.18444704486848
article_jvolumn,89,64,302.567150338758
article_jvolumn,91,10,52.51894207409027
article_jvolumn,94,37,112.83533864489851
article_jvolumn,97,64,nan
article_jvolumn,103,24,nan
article_jvolumn,107,52,290.5732416153911
article_jvolumn,117,41,211.45430154615457
article_jvolumn,146,21,nan
article_jvolumn,150,52,282.88584742312116
article_jvolumn,155,4,12.354404833500611
article_jvolumn,156,137,456.8081471282716
article_jvolumn,159,80,nan
article_jvolumn,181,0,nan
article_jvolumn,188,16,62.896643653010344
article_jvolumn,201,15,nan
